Marketplace,Order ID,Order Date,Currency,Price,Price Tax,Shipping Charge,Total Discounts,Total Owed,Item Subtotal,Item Subtotal Tax,ASIN,Product Condition,Quantity,Payment Instrument Type,Order Status,Shipment Status,Ship Date,Shipping Option,Carrier Name & Tracking Number,Product Name,Gift Message,Gift Sender Name,Gift Recipient Contact Details
Amazon.co.uk,026-2795639-1453141,2021-02-05,GBP,16.49,3.3,0,0,19.79,29.81,5.97,B0817PWV47,New,1,Visa - 2018,Closed,Shipped,06/02/2021 23:53,premium-uk,AMZN_UK(QA1042072778),UGREEN USB C Hub MacBook Pro Adapter 5 IN 2 HDMI 4K Type C Port Thunderbolt 3 for Video 100W PD Charging 10Gbps USB 3.0 Compatible with Macbook Pro 2020/2019/2018/2017 Macbook Air 2020/2019/2018,,,
Amazon.co.uk,026-2795639-1453141,2021-02-05,GBP,13.32,2.67,0,0,15.99,29.81,5.97,B0895XDJ4M,New,1,Visa - 2018,Closed,Shipped,06/02/2021 23:53,premium-uk,AMZN_UK(QA1042072778),4K HDMI Cable 5mSweguard High Speed 18Gbps Braided HDMI 2.0 Cable 4K@60Hz 2K@144Hz Supports 3D UHD 2160p HD 1080p Ethernet HDCP 2.2 ARC Compatible Fi,,,
Amazon.co.uk,026-1441094-1476305,2021-02-05,GBP,6.16,1.23,0,0,14.78,12.32,2.46,B0784LLF2V,New,2,Visa - 2018,Closed,Shipped,07/02/2021 09:32,premium-uk,AMZN_UK(QA1043162295),elho B.for Rock Flower Pot Black Made with recycled materials,,,
Amazon.co.uk,026-7637648-0369910,2021-02-01,GBP,14.99,3,0,0,17.99,14.99,3,B08LST6HC1,New,1,Visa - 2018,Closed,Shipped,02/02/2021 16:20,premium-uk,AMZN_UK(QA1031437474),TORRAS Ultra Thin Case (New Version) for iPhone 12 Case iPhone 12 Pro Case Slim with 2X Tempered Glass Screen Protector Fully Protective Hard Silky Matte Finish-Pacific Blue (Decency Series),,,
Amazon.co.uk,203-8795082-2654767,2021-01-08,GBP,10.82,2.17,0,0,12.99,10.82,2.17,B08BZFYFST,New,1,Visa - 2011,Closed,Shipped,10/01/2021 02:54,premium-uk,AMZN_UK(QA0968882761),Rotating Jewellery Organiser Jewellery Stand Acrylic 360°Rotating Display Earring Holder 4 Tiers Jewellery Rack Display Classic Stand 160 Holes and 168 Grooves for Necklaces Earrings Piercings Clear,,,
Amazon.co.uk,203-2967062-7882734,2021-01-01,GBP,55.83,11.17,0,0,67,55.83,11.17,B0717BM8D6,New,1,Visa - 2018,Closed,Shipped,03/01/2021 11:32,premium-uk,AMZN_UK(QA0948575082),Microsoft Surface Pen - Black,,,
Amazon.co.uk,204-7400401-5278748,2020-12-27,GBP,6.89,0,0,0,6.89,6.89,0,B087P38ZZY,New,1,Visa - 2011,Closed,Shipped,28/12/2020 21:47,premium-uk,AMZN_UK(QA0936286215),2 PCS Durag - Silk Durag for Men Women Silky 360 Wave Cap Mens Pirate Bandanas Satin Durag Head Bandanas Mens Turban Hair Bandana Headwraps with Ext,,,
Amazon.co.uk,203-3131367-2161120,2020-12-21,GBP,12.49,2.5,0,0,14.99,12.49,2.5,B07SN4RQTP,New,1,Visa - 2011,Closed,Shipped,22/12/2020 04:17,premium-uk,AMZN_UK(QA0921161388),Bandai Dragon Ball Limit Breaker 30 cm Anime Figure - Super Saiyan Blue Goku,,,
Amazon.co.uk,203-5179457-2771516,2020-12-21,GBP,6.66,1.33,0,0,7.99,6.66,1.33,B07SRRQYDB,New,1,Visa - 2011,Closed,Shipped,21/12/2020 17:43,premium-uk,ROYAL_HIGH_LETTER_TRACKED(PY166644975GB),12 Pairs Black Earrings Studs Stainless Steel CZ Screw Studs Cartilage Earrings Hoops Barbell Ear Plugs Ear Piercing Triangle Screw Studs Earrings Endless Round Huggie Hoop Men's Earrings,,,
Amazon.co.uk,204-4373229-3590751,2020-12-12,GBP,62.06,12.41,0,0,74.47,62.06,12.41,B07GT4N11S,New,1,Visa - 2011,Closed,Shipped,12/12/2020 17:10,premium-uk,AMZN_UK(QA0884309075),Razer Mamba Wireless: Gaming Mouse with True 16000 DPI 5 Generation Optical Sensor 50 Hour Battery Life Powered By Razer Chroma,,,
Amazon.co.uk,203-9448756-9267559,2020-12-04,GBP,4.99,1,0,0,5.99,4.99,1,B07FP7HBZ1,New,1,Visa - 2011,Closed,Shipped,04/12/2020 16:54,premium-uk,AMZN_UK(QA0854609564),Travel Sewing Kit AUERVO Over 70 DIY Premium Sewing SuppliesMini Sewing kit for Home Travel & Emergency Filled with Mending and Sewing Needles Sci,,,
Amazon.co.uk,203-0296948-9849122,2020-12-03,GBP,12.49,2.5,0,0,14.99,12.49,2.5,B08DQT3F3C,New,1,Visa - 2011,Closed,Shipped,04/12/2020 03:23,premium-uk,AMZN_UK(QA0853347038),Spigen EZ Fit Tempered Glass Screen Protector for iPhone 12 and for iPhone 12 Pro - 2 Pack,,,
Amazon.co.uk,203-1804062-2642714,2020-12-03,GBP,10.82,2.17,0,0,12.99,10.82,2.17,B08BGCSWZV,New,1,Visa - 2011,Closed,Shipped,04/12/2020 00:38,premium-uk,AMZN_UK(QA0852292357),Spigen Thin Fit case compatible with iPhone 12 2020 compatible with iPhone 12 Pro 2020 - Black,,,
Amazon.co.uk,203-1731976-7077107,2020-12-02,GBP,6.89,0,0,0,6.89,6.89,0,B087P38ZZY,New,1,Visa - 2011,Closed,Shipped,03/12/2020 19:54,premium-uk,AMZN_UK(QA0851245999),2 PCS Durag - Silk Durag for Men Women Silky 360 Wave Cap Mens Pirate Bandanas Satin Durag Head Bandanas Mens Turban Hair Bandana Headwraps with Ext,,,
Amazon.co.uk,203-5233126-0381932,2020-11-23,GBP,2.19,0,0,0,2.19,2.19,0,B083Y5QWV4,New,1,Visa - 2011,Closed,Shipped,23/11/2020 13:00,Std UK Dom_2,ROYAL_MAIL(),Cable 1pcs Protector Cute Animal For iPhone Axolotl Bite Mobile Phone Connector Mini Cable Accessory (Axolotl),,,
Amazon.co.uk,203-4503353-8784359,2020-11-16,GBP,15.99,0,0,0,15.99,15.99,0,B07Q4T12PH,New,1,Visa - 2011,Closed,Shipped,16/11/2020 17:29,premium-uk,AMZN_UK(QA0789854875),Soldering Iron Kit Tabiger 60W Welding Tools with Adjustable Temp 200-450°C and ON/Off Switch 5 Soldering Tips Desoldering Pump Solder Wire Wire Stripper Cutter Stand Tool Case,,,
Amazon.co.uk,203-6243854-3080340,2020-11-15,GBP,19.19,0,0,0,19.19,19.19,0,B07NZB2J76,New,1,Visa - 2011,Closed,Shipped,16/11/2020 17:29,premium-uk,AMZN_UK(QA0789854875),Rotary Tool Cordless Ginour 3.7V Cordless Multitool Rotary Tool with 32PCS Accessories Speed 5000-15000rpm USB Charging Rotary Tool Kit for Polishing Engraving Cleaning,,,
Amazon.co.uk,203-0111738-3273948,2020-11-15,GBP,3.89,0.78,0,0,4.67,3.89,0.78,B00B22VHO8,New,1,Visa - 2011,Closed,Shipped,17/11/2020 01:15,premium-uk,AMZN_UK(QA0788998539),CONNEX DP8500052 Wood Screw Kit 215 pcs,,,
Amazon.co.uk,203-7859613-2713160,2020-11-03,GBP,3.98,0,0,0,3.98,3.98,0,B07Z3PFTCY,New,1,Visa - 2011,Closed,Shipped,04/11/2020 05:43,Std UK Dom_5,YunExpress(YT2030801277028616),M-HUA Aluminum Alloy Begleri Toy Worry Beads Finger Skill Paracord Stress Toys,,,
Amazon.co.uk,204-4067801-4165933,2020-10-15,GBP,21.66,4.33,0,0,25.99,21.66,4.33,B07GL45JHQ,New,1,Visa - 2018,Closed,Shipped,16/10/2020 02:54,premium-uk,AMZN_UK_PRIME(QA0711171887),Amazon Basics Cat Condo Tree Tower With Hammock Bed And Scratching Post - 16 x 20 x 16 Inches Grey,,,
